,url,header,header_len,meta,meta_len,bytes,word_count,inlinks,unique_in,outlinks,unique_out,ext_links,unique_ext,pa,pub_date
54,https://www.mayoclinic.org/diseases-conditions/alcohol-intolerance/symptoms-causes/syc-20369211,alcohol intolerance,19,"Having an immediate reaction after drinking alcohol, such as a stuffy nose and skin flushing, might indicate alcohol intolerance.",129,42930,1249,8,3,68,42,67,45,0.0,2020-04-15
55,https://www.mayoclinic.org/diseases-conditions/alcohol-poisoning/symptoms-causes/syc-20354386,alcohol poisoning,17,Alcohol poisoning is a serious and sometimes deadly consequence of drinking large amounts of alcohol in a short time. Here's what to do in an emergency.,152,47568,1970,9,4,67,41,67,45,0.0,2018-01-19
56,https://www.mayoclinic.org/diseases-conditions/alcoholic-hepatitis/symptoms-causes/syc-20351388,alcoholic hepatitis,19,"Drinking heavily over years can cause inflammation of the liver. If you have alcoholic hepatitis, you must stop drinking.",121,53838,1874,20,10,75,48,67,45,0.0,2018-11-30
57,https://www.mayoclinic.org/diseases-conditions/primary-aldosteronism/symptoms-causes/syc-20351803,primary aldosteronism,21,This hormonal disorder can cause high blood pressure and an increased risk of heart disease and stroke. Learn about causes and treatments.,138,46191,1291,13,6,73,45,67,45,0.0,2019-10-09
58,https://www.mayoclinic.org/diseases-conditions/churg-strauss-syndrome/symptoms-causes/syc-20353760,churg-strauss syndrome,22,"This rare blood vessel disease may cause breathing trouble, face pain and a persistent runny nose. Medications can help.",120,44664,1316,20,10,72,45,67,45,0.0,2019-09-21
59,https://www.mayoclinic.org/diseases-conditions/hay-fever/symptoms-causes/syc-20373039,hay fever,9,"Find out more about how to diagnose and get relief from this common condition that can make you feel awful, seasonally and year-round.",134,48562,1697,11,6,71,43,68,46,0.0,2019-03-19
60,https://www.mayoclinic.org/diseases-conditions/allergies/symptoms-causes/syc-20351497,allergies,9,"Allergy symptoms can range from mild to severe, even life-threatening. Most allergies can't be cured, but treatments can help.",126,51679,1756,9,4,76,48,70,47,1.0,2018-01-06
61,https://www.mayoclinic.org/diseases-conditions/dust-mites/symptoms-causes/syc-20352173,dust mite allergy,17,Dust mite allergy can lead to year-round sniffles and sneezes. Here’s how to find relief.,89,46476,1640,9,4,68,42,68,46,1.0,2019-05-07
62,https://www.mayoclinic.org/diseases-conditions/egg-allergy/symptoms-causes/syc-20372115,egg allergy,11,"Egg allergy — Comprehensive overview covers symptoms, treatment of this condition.",82,47283,1908,10,5,68,42,67,45,0.0,2019-05-07
63,https://www.mayoclinic.org/diseases-conditions/food-allergy/symptoms-causes/syc-20355095,food allergy,12,"For people with food allergies, symptoms can range from annoying to life-threatening. Learn about diagnosis and treatment of this common immune reaction.",153,59561,2902,11,6,76,47,72,50,1.0,2019-11-02
